Table Name,Row Count
tblIncentivePolicyMasterNew,33
DAS1_DASProducts,0
TblEmpTeams,173
DAS_DD_ProjMedical,6
SS_BrickShareAllocation,4812
ss_brickshareallocationBackup,2
FFE_Designations_Marketing,6
tblDoctorVistfrequency,4
tblIncentiveProcessTerritoryApprovalAuthorities,0
tblIncentiveProcessCalculateIncentiveSPO,6016
KEY_PERSON_TYPE,0
SUBCLASS_ORDER,0
SS_Dashboard_Setup,8
DAS_DD_ProjProduct,11
FFE_DisbursementMarked_Marketing,2
DAS1_DASStores,0
tblTeamSubTeamMapping,43
SALESPERSON,2
tblDoctorDesignation,13
TblEmpTeamsNew,3493
FFE_ExpenseApprovalDetail_Marketing,3
SS_Exp_Sales,2596
DAS_DD_ProjTeams,6
DAS1_DesignationTrail,0
CUSTOMER_TYPE_SETUP,2
ssproductsetup,18672
tblIncentiveProcessDSMTeamDistrictProduct,3595
CONTACTS,0
DASEntryTeam,11838
FFE_ExpenseApprovalMaster_Marketing,2
DAS1_HospitalDetail,10526
tblRegionDistrictmasterNew,206
tblDoctorQualification,24
SS_Employee_Area_Association_Log,983
SS_Exp_Country,11
DATA_MIGRATION_CONTROL,1
FFE_DesigWiseNightAllowance,3
tblEmployee,15386
tblDummy,1
DASDoctors_PrescriptionHabit,0
FFE_ExpenseEntry_Marketing,2324
tblVIAEmail_ExecutionHistory,4931
TblTerritoryManagementRecordNotApprovedBUHViaEmail,378
SS_Exp_Territory,14
DAS_DD_DASProject,0
WPM_DesignationTrail,0
SS_Doctor_july2017,18655
tblDoctorSpeciality,35
FFE_ReportStructure,0
tblIncentiveProcessDSMTeamDistrict,441
DASHospital,0
tblVIAEmail_Policy,1
SS_Exp_AutoOrderSetup_AvgSales,0
WPM_TeamTrail,0
SS_Retailer_july2017,125599
SS_Employee_Area_Association1406,531
TblEmailJob_ExecutionHistory,13452
GetTerritoryBrickSales,7926781
DASDoctors_EatingHabit,0
tblCity,62552
SS_Wholesaler_july2017,5565
SS_Sales_Share_Allocation1406,140
SS_Exp_Brick,14
FinalResultSummary,740926
SS_Institution_july2017,5667
SS_Sales_Share_Allocation_Log1406,8
TblEmailJob_ExecutionHistory_Detail,135928
SS_ScheduledAutoOrderMaster,0
DAS_DD_DASVendorQuotation,0
tblIncentiveProcessDSMTeam,0
tblAssetHistory,1958
FinalResult,7926781
SS_Brick,8587
DASStores,85247
TblIncentiveApprovalAuthority,1
SS_Exp_AutoOrderSetup_RollingForecast,1
tblFloorStock,821
SS_Brick_Mapping_Distributor,12490
tblempTeam1407,2502
TblLog_Email,450694
SS_Exp_Distributor,8
DAS_DD_AcademicService,4
DAS1_TeamTrail,0
ss_target_detail_new,41099
TblEmpTeams1707,2503
FFE_Area,0
tblIncentiveProcessDSMTeamBrandGroup,144
SS_City,100
ss_target_master_new,39669
SS_Brand,200
SS_Exp_Sales_Share_Allocation,43
DAS_DD_InsertConsentPolicy,0
SS_Sales_BricksCopy,4649
TblLog_Email_GM_26092024,5946
tblDistrictTerritoriesDetailNewHistory,719
SS_Data_Import_Configuration_Detail,14492
DASDoctorsDetail,0
Sales_FH1,70147
SS_BrandGroup,162
SS_Exp_FiscalYear,7
tblDistrictDSMmasterNew,0
tblSeparation,11759
tblDistrictDSMDetailNewHistory,735
DAS_DD_TeamBudgetSummary,0
tblIncentiveProcessCalculateIncentiveDSM,116
SS_Data_Import_Configuration_Master,1345
DAS2_DesignationTrail,0
App_MessagesDetail,27
tblIncentivePolicyEmployeeTypeDetailNew,58
tblTerritoryBricksDetailNew,101407
SS_Exp_Sales_Share_Allocation_Log,0
CompActivityType,9
TblWorkflowRequestTransfer,0
SS_ScheduledAutoOrderDetail,0
SS_Designation_Exception,4
DASDesignationException,5
FFE_DesignationTrail,177
Tbl_Workflow_ForwardToNextApprovalAuthority_History,38073
FFE_DesigWiseFareRate,513
SS_Exp_Designations,5
DAS_DD_CompetitorProduct,20
tblWorkFlowStatus_EmailLog,35461
tblIncentiveProcessSMTeamRegion,176
Pharma_BaseCurrency,1
SS_Designations,21
DASProducts,117699
FFE_Dashboard,4
SS_Exp_Designation_Exception,3
tblAssetDetail,2087
tblWorkFlowSetupDefaultAuthority,0
tblTerritorySPOmasterNew,0
DAS_DD_FormData,6
FFE_GradeTrail,0
SS_Exp_Currency,4
FFE_DesigWiseOutStationAllowance,1012
tblTerritoryBricksDetailNew280920241154,84205
TblStartupUtilitySetups,36
DAS_DD_TransactionLogTAB,6
tblIncentiveProcessSMTeam,159
FFE_BaseTownTrail,0
SS_Distributor_Brick,12488
DAS2_TeamTrail,0
SS_RoleDesignationMapping,122
SS_Exp_MedicalRep,53
tblMaintenanceSlabAmount,0
TempBatchData,24629271
SS_Sales,304363
FFE_UserWiseOutstation,13909
tblRegionSMDetailNew,264
Wpm_ChemistPoolMstr,4
tblHRPolicy,1
DASDesignations,21
salproductrange,746
SS_Team,31
DAS_DD_PoliciesMasterTAB,13
tblSetupsDetail,2014
tblTerritoryBricksDetailNewBackup06112024,89586
SS_Employee_Product_AssociationNewBackup,1564
FFE_EmpWiseOutstationNightAllowance,27818
Wpm_ChemistPoolDtl,99
TblHRPolicyDetail,36
SS_TempDataVerification,420
tblIncentiveProcessCalculateIncentiveSM,134
SS_ProductGroupBrandAssociationBackup,1205
DASSpeciality,55
tblDistrictMasterNew,605
DUMMY,16
SS_Exp_Institution,0
DAS_DD_PoliciesDetailTAB,10
DAS1_PrescriptionHabit_Master,0
FFE_MasterSetupRequestPolicy_Recepient,0
ss_product_setupBackup,8299
PendingTable,212
tblHODSetup,0
SS_Invoice_Unidentified_Customer,465244
ss_SalesTargetBackup,23
SS_Distributor_Mapping_Internal,715
DASMaster,32280
SS_ChainPharmacy_Products22112024,27956
SS_Product_Setup2024,1555
DataAccessControl,5
SS_Exp_Supervisor,10
DAS1_PrescriptionHabit_Detail,0
FFE_MasterSetupRequestPolicy_Signature,0
tblIncentiveProcessProductApprovalAuthorities,0
TempTabelDAS,21889
DAS_DD_BankData,10
SS_Distributor_Opening_Stock,16279
tblWorkFlowStatus,23881
WPM_WorkplanDetailSubOrdinate,0
SS_Exp_Target_Master,33
SS_Vw_DrillDown_EmployeeYearlyAchievementMonthWiseOverall,24648
FFE_OtherAllowance,7
DAS_Qualification,3
DAS_DD_PaymentMode,2
SS_Distributor_Product,60840
Num,10001
SS_Exp_Target_Detail,1193
ProductSetup_FH,4668
DAS_RoleHierarchyManagement,7
DAS_Designation,3
DAS_DD_AnnualBudget_Teams,0
SS_SalesLog,19165078
SALSubCustomer,1277
DASDesignationException_BeforeRemoveAll,33
FFE_ExpenseDisbursementSchedule,37
DAS_Classification,4
DAS_DD_InsertProofOfReceipt,0
SS_ChainPharmacy,9
SS_Distributor_Stock,30067
SS_Exp_Medical_Rep_Brick_Association,53
FFE_DisbursementMarked,8156
DAS_Doctor,3
SALReturnStock,23821
SS_ChainPharmacy_Pharmacies,134
tblRegionDistrictTerritoryMapping,1408
tblEmployeeAreaAssociation,19
ss_DataImport_Log,455
SS_Exp_Supervisor_Mapping_Institution,0
DAS_DD_InsertUnderperformingComment,0
ISMA_ProductDetail,0
FFE_BricksOfBaseTown,578
DAS_DoctorLocation,3
SS_ChainPharmacy_Products,27956
SS_Doctor,42792
TEMPCHECKING,1562
App_Messages,27
SS_Exp_Product_Mapping_Institution,0
MissingBricks,3
TempTabelDAS_12Monthlog,14224
FFE_DistanceWiseAreaRange,777
SS_ProductGroupBrandAssociation,1202
DAS_DD_InsertReplyComment,0
SS_Employee_Product_AssociationNew,1565
SS_Exp_Currency_Mapping_Institution,0
SS_Distributor_AddingNew,551
tblRegionMasterNew,202
FFE_Designations,13
SS_BrickShareAllocationHistory,8860
tblExpensePolicyDetail,3
SALCustomer,1342
tbl##ss_SpecificMonthSalesDSMTeamWiseSummary,0
SS_Doctor_Mapping_Internal,0
SS_Employee_Product_AssociationNew_Log,0
SS_Exp_Currency_Mapping_Distributor,7
DAS_DD_SaveFCMToken,1
SALOrderProduct,1473224
FFE_ArrearHistory_EmpWiseOtherAllowance,0
FFE_DesignationException,11
SALDeliveryOrder,163304
tblSpecificMonthSalesDSMTeamWiseSummary,0
SS_Employee_Area_Association,428
SS_Exp_Supervisor_Mapping_Distributor,10
DAS_DD_DASVerificationTable,0
SALOrder,163642
FFE_ApprovalDesignationException,2
ss_targetImportLog,70
tblIncentivePolicyDesignationAchievementDetailNew,12
SALDeliveryOrderDetail,1470258
tblSpecificMonthSalesDSMTeamDistrictWiseSummary,0
SS_Employee_Product_Association,1043
SS_Exp_Product_Mapping_Distributor,292
tblDistrictTerritoriesmasterNew,0
DAS_DD_PushNotificationContent,19
FFE_Arrear,83
new_Non_partitioned_Table,18664795
tblEmpTeams_25032017,1761
SS_FiscalYear,16
tblTerritoryMasterNew,2597
SS_SS_Dstb_Prdt_Floor_Stock_Floor_Stock,0
FFE_EmpWiseOtherAllowance_History,1505
SS_Exp_Target_Import_Log,4
DAS_DDSecurityLogs,0
FFE_ArrearHistory_EmpWiseOutstationNightAllowances,0
FFE_ExpenseApprovalDetail,248851
SS_VacantSalesAssociation,0
SS_Institution,23645
FFE_EmpWiseOutstationNightAllowance_History,4208
SS_Exp_Data_Import_Configuration,7
tblSpecificMonthSalesDSMTeamDistrictWiseBrandGroupWiseSummary,0
SS_AutoOrder_ShipperSize,2
FFE_ExpenseEntry,260326
SS_IndependentInstitutionalSales,0
SS_DesignationTrail,0
SS_Exp_Product_Setup,476
ss_targetImportUndoLog,40
SS_Institution_Mapping_Internal,0
FFE_ApprovalPolicy,1
ISMA_TEMP,0
SS_TeamTrail,1
tblTerritoryBricksDetailNewHistory,10115
tblSpecificMonthSalesDSMTeamBrandGroupWiseSummary,0
SS_Product_Mapping_Distributor,54223
FFE_ExpenseApprovalMaster,8152
ISMA_Temp2,0
tblTerritorySPODetailNewHistory,2767
SS_Exp_Medical_Rep_Product_Association,2472
tblRegionDistrictDetailNew,613
tblTerritoryBrickmasterNew,0
TblIncentiveProcessMaster,1
SS_Product_Setup,8304
tblTerritoryBricksDetailNewUpdated,579
FFE_DesigWiseOtherAllowance,1963
SS_Exp_OpenningStock,0
DAS1_TempTabelDAS,0
TblDistrictManagementRecordNotApprovedBUHViaEmail,0
Wpm_Designations,7
SS_Distributor_Doctor,42586
SS_Region,3
FFE_EmpWiseOtherAllowance,5833
ss_target_detail_new_AUG2017,23609
GetTeamSales,7006648
tblIncentivePolicyEmployeeTypeDiscountDetailNew,167
DAS1_TempTabelDAS_12Month,0
tblIncentiveProcessDSMTeamDistrictTerritory,1597
ss_target_master_new_AUG2017,22179
Wpm_Designation_Exception,2
SS_Distributor_Institution,24598
tblDistrictTerritoriesDetailNew,2645
SS_Retailer,244693
Wpm_WorkplanDetailDoctor,3601
SS_Distributor_Retailer,242607
DAS_DataAccessControl,0
PPIPickingSlipMas,233554
TempTabelDAS_12Month,37788
tblSpecificMonthSalesSMTeamDistrictWiseSummary,0
FFE_ProcessSchedule,0
CRMDataMigrationExportConfiguration,32
SS_Distributor_Wholesaler,13561
SS_Employee_Target_Transfer,0
tblTerritoryBrickData,173
PPIPickingSlipDetail,0
tblSpecificMonthSalesSMTeamWiseSummary,0
FFE_PayrollProcessing,0
SS_Doctor_Mapping_Distributor,42917
SS_Sales_Share_Allocation,456
tblExpensePolicyMaster,1
tblSpecificMonthSalesSMTeamDistrictWiseBrandGroupWiseSummary,0
Wpm_SMSActivityDetailChemist,0
tblValidationMessages,1792
TblTerritoryManagementRecordNotApprovedSMViaEmail,141
SS_Retailer_Mapping_Distributor,242609
SS_Sales_Share_Allocation_Log,983
SALInvMas,213010
SS_AutoOrderSetup_Seasonal,1
tblSpecificMonthSalesSMTeamBrandGroupWiseSummary,0
Wpm_SMSActivityDetailDoctor,1
SS_Institution_Mapping_Distributor,24604
ISMA_TenderOrderMapping,0
tblDistrictTerritoriesDetailNewHistory1,162
SS_Target_Detail,1065
SS_AutoOrderSetup_Seasonal_Detail,1
tblDistrictTerritoriesDetailNew_BEforeCorrection,162
tblUTC,6
FormMenuItemsWithOutRights,0
CRMDataMigrationConfigMstr,32
SS_Wholesaler_Mapping_Distributor,13676
ISMA_InstitutionMapping,0
abcd,0
tblSpecificMonthSalesSummary,0
SS_Target_Import_Log,2
TblTerritoryManagementRecordNotApprovedBUHViaEmailDummy,40
abcdefgh,0
tbl_WorkflowEmail_Path,242313
tbllabelDetailformwise,16754
SS_TempCust,43075
PPIItemMas,28964
ISMA_Institution,0
tblIncentiveProcessSPOTeamTerritoryApprovalDummy,0
SS_Target_Master,115
tblLabelMaster,12847
Table2,27
TblLog_EmailType,72
FFE_DCREntry,5
tblDASErrorLog,58
tblSalesVsTarget,0
Wpm_DeviationPolicy,0
TblRptTargetAchivement,0
SALReturnStockDetail,12562
SS_Vw_Sales,135928443
Table1,162
tblSpecificMonthSalesTerritoryWiseSummary,0
tblvalidationMessageDetailformwise,53
Wpm_DeviationPolicyChemist,0
tblvalidationMessageMaster,18
SALTransInvoiceMas,5174
CustomerInfo,29566
FFE_MonthlyAllowanceDisbWise,19362
SS_Wholesaler,13210
tblRegionMasterOld,114
tblIncentivePolicyAchievementDetailNew,305
tblSpecificMonthSalesTerritoryBrandGroupWiseSummary,0
CRMDataMigrationConfigDtl,218
SALTransInvoiceDetail,10550
ss_DistributorAssociationRemovalLog,282
tblDistrictMasterold,356
tblEmpCheck,3457
FFE_DailyAllowanceDisbWise,7859
tblTerritoryMasterold,1321
tblOtherDeptEmp,4156
ss_vw_Sales_Invoice,1520605
PPIDCSalesMas,216162
SS_Brick_Backup,6817
SS_Retailer_Backup,146865
PPIDCSalesDetail,1518486
SS_Doctor_Backup,23598
tblTerritoryBricksDetailNewDeallocated,13241
Temp_SalesTempTable,3
Wpm_ActivityDetailDoctor,0
tblTerritoryDistributorBrickMapping,46073
SS_Wholesaler_Backup,8667
tblExcludeSpecialCharacters,19
SS_AutoOrderRequest,2236
Sales_FH,4750068
SALInvDet,215581
SS_Institution_Backup,5704
InvestmentItem,97
SS_SeasonalProducts,1
SS_Distributor,587
Wpm_WorkplanMaster,247
SS_Brick_Mapping_Distributor_Backup,3951
SS_AutoOrder_Setup,1
SALInvDetItem,1518705
SS_Retailer_Mapping_Distributor_Backup,91068
SS_Sales_Bricks,4649
Wpm_ActivityDetailChemist,0
SS_Doctor_Mapping_Distributor_Backup,15534
SS_Product_Group,1345
SS_Wholesaler_Mapping_Distributor_Backup,3691
Wpm_SMSActivityMaster,1
SS_Institution_Mapping_Distributor_Backup,3569
SS_Temp_Opening_Stock,112
SS_Distributor_Brick_Backup,3951
Wpm_SMSStatus,3
SS_Distributor_Retailer_Backup,86819
ORDER_EXPENSES,0
SS_Distributor_Doctor_Backup,15534
PRODUCTS,8299
SS_Distributor_Wholesaler_Backup,3691
tblTerritorySPODetailNew,2186
SS_Distributor_Institution_Backup,3425
DASEntryTeamSep,2544
Wpm_Status,4
ss_SAPProductMapping,0
SalesSummary,0
ORDER_DETAILS,111250
TENDER_MASTER,0
CompetitorActivityCity,36
tblTerritoryBricksDetailNewCopy,6
Wpm_WorkplanDetailMiscellaneousActivityType,0
tblSalesVsTargetTest,322308
tblDataCorrenttion,101
TENDE_DETAILS,0
CompetitorActivityProduct,5
Wpm_MiscellaneousActivityType,3
Product_Mapping,1
tblDistrictDSMDetailNew,786
Deposit_Type,0
CompetitorActivityInstitution,4
SS_Distributor_ProductAG,263
tblRegionSMmasterNew,206
SS_Product_Mapping_DistributorAG,260
Competitor,90
tblDASEntryChecing,24083
tblIncentiveProcessSpecificMonthSalesSummary,17454
Tender_Expense,4
Wpm_EmployeeSMSActivation,3
CompetitorActivity,13
SS_Employee_Product_Association_Log,3328
